Name,Link,Price,Image,Field4
 Granadilla,https://www.iga.net/en/product/granadilla/00000_000000000000003038,"
                                            $2.49 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003038.jpg,
Granny Apples,https://www.iga.net/en/product/applesgranny/00000_000000068657801401,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068657801401.jpg,
Granny Smith Small West Apples,https://www.iga.net/en/product/applesgranny-smith-small-west/00000_000000000000004139,"
                                            $0.55 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004139.jpg,
Green Organic  Kiwi,https://www.iga.net/en/product/-kiwigreen-organic/00000_000000081884902009,"
                                            $1.21 / 100 G
                                        ",https://az826390.vo.msecnd.net/cdn/media/data/default/new-product-small.ashx,
Ground Cherries,https://www.iga.net/en/product/cherriesground/00000_000000770198200006,"
                                            $2.64 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0770198200006.jpg,
Honey Pomelo,https://www.iga.net/en/product/pomelohoney/00000_000000062519500113,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0062519500113.jpg,
 Honeycrisp Apples,https://www.iga.net/en/product/honeycrisp-apples/00000_000000000000003283,"
                                            $0.88 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003283.jpg,
In Basket Plums,https://www.iga.net/en/product/plumsin-basket/00000_000000080199400192,"
                                            $8.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400192.jpg,
Large Honeydew,https://www.iga.net/en/product/honeydewlarge/00000_000000000000004034,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004034.jpg,
Large Kiwi,https://www.iga.net/en/product/kiwilarge/00000_000000000000004030,"
                                            $0.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004030.jpg,
Large Organic Cantaloupe,https://www.iga.net/en/product/cantaloupelarge-organic/00000_000000000000094050,"
                                            $5.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000094050.jpg,
 Lemons,https://www.iga.net/en/product/lemons/00000_000000000000004958,"
                                            $0.69 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004958.jpg,
 Limes,https://www.iga.net/en/product/limes/00000_000000000000004048,"
                                            $0.79 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004048.jpg,
